Date,Opponent,Type,Song,Period,Media,Time,Score (Duke-Opponent),Early? (Y/N),Event
03/09/24,UNC,MBB,Can't,Pregame,,,0-0,N,
03/09/24,UNC,MBB,Dance the Night,Pregame,,,0-0,N,
03/09/24,,,Blue & White,,,,,Y,ESPN College GameDay
03/09/24,UNC,MBB,Fat,Pregame,,,0-0,N,
03/09/24,,,Everytime,,,,,N,ESPN College GameDay
03/09/24,,,Fight Fight,,,,,N,ESPN College GameDay
03/09/24,,,Blue & White,,,,,N,ESPN College GameDay
03/09/24,,,Fight Fight,,,,,N,ESPN College GameDay
03/09/24,,,Uma Thurman,,,,,N,ESPN College GameDay
03/09/24,,,Sail,,,,,N,ESPN College GameDay
03/09/24,,,Zing It!,,,,,Y,ESPN College GameDay
03/09/24,,,That's What I Want,,,,,N,ESPN College GameDay
03/09/24,,,That That,,,,,N,ESPN College GameDay
03/09/24,,,Scream,,,,,Y,ESPN College GameDay
03/09/24,,,Love from the Other Side,,,,,N,ESPN College GameDay
03/14/24,NC State,MBB,Fight Fight,2H,,0:15,69-73,N,
03/14/24,NC State,MBB,Runaway Baby,2H,<12:00,12:00,46-50,N,
03/14/24,NC State,MBB,Blue & White,2H,<4:00,3:11,61-67,N,
03/14/24,NC State,MBB,Pumpkin,2H,<4:00,3:11,61-67,N,
03/14/24,NC State,MBB,Zing It!,2H,<12:00,12:00,46-50,N,
03/14/24,NC State,MBB,Fight Fight,2H,,17:07,32-41,N,
03/14/24,NC State,MBB,Blue & White,Halftime,,,32-35,N,
03/14/24,NC State,MBB,Love from the Other Side,Halftime,,,32-35,Y,
03/14/24,NC State,MBB,Can't,Halftime,,,32-35,N,
03/14/24,NC State,MBB,Overpass,1H,<8:00,6:50,22-24,Y,
03/14/24,NC State,MBB,Devil,1H,<8:00,6:50,22-24,N,
03/14/24,NC State,MBB,Blue & White,1H,<16:00,15:01,4-7,N,
03/14/24,NC State,MBB,Fight Fight,1H,<16:00,15:01,4-7,N,
03/14/24,NC State,MBB,Blue & White,2H,,0:15,69-73,N,
03/14/24,NC State,MBB,That's What I Want,2H,,17:07,32-41,N,
03/14/24,NC State,MBB,Blue & White,Postgame,,,69-74,N,
03/14/24,NC State,MBB,Everytime,2H,<4:00,3:11,61-67,N,
03/22/24,Vermont,MBB,Devil,2H,<12:00,12:00,42-37,N,
03/22/24,Vermont,MBB,Scream,Pregame,,,0-0,N,
03/22/24,Vermont,MBB,Dance the Night,Pregame,,,0-0,N,
03/22/24,Vermont,MBB,good 4 business,Pregame,,,0-0,N,
03/22/24,Vermont,MBB,Can't,Pregame,,,0-0,N,
03/22/24,Vermont,MBB,Fight Fight,1H,<16:00,15:05,9-10,N,
03/22/24,Vermont,MBB,Blue & White,1H,<16:00,15:05,9-10,N,
03/22/24,Vermont,MBB,Industry Baby,1H,<16:00,15:05,9-10,N,
03/22/24,Vermont,MBB,Zing It!,1H,<8:00,7:38,26-16,N,
03/22/24,Vermont,MBB,That's What I Want,1H,<8:00,7:38,26-16,Y,
