Date,Opponent,Type,Song,Period,Media,Time,Score (Duke-Opponent),Early? (Y/N)
,,,Runaway Baby,1Q-2Q Break,n/a,n/a,17-12,N
,,,Spell,2Q,n/a,6:40,23-14,N
,,,Sail,2Q,n/a,6:40,23-14,N
,,,Blue & White,Halftime,n/a,n/a,40-27,N
,,,Can't,Halftime,n/a,n/a,40-27,N
,,,Dance the Night,Halftime,n/a,n/a,40-27,N
,,,Love Runs Out,3Q,<5:00,4:50,51-33,Y
,,,Wipeout,3Q-4Q Break,n/a,n/a,53-38,N
,,,Zing It!,4Q,n/a,7:09,60-41,N
,,,Everytime,4Q,<5:00,3:09,68-49,N
,,,Pumpkin,4Q,<5:00,3:09,69-49,N
,,,Devil,Postgame,n/a,n/a,73-54,N
,,,Dear Old Duke,Postgame,n/a,n/a,73-54,N
