Date,Opponent,Type,Song,Period,Media,Time,Score (Duke-Opponent),Early? (Y/N)
,,,Can't,Halftime,,,25-26,N
,,,Love from the Other Side,3Q,<5:00,4:07,27-37,Y
,,,Wipeout,3Q-4Q Break,,,34-46,Y
,,,Zing It!,4Q,,6:28,40-46,Y
,,,Everytime,4Q,<5:00,4:05,45-48,Y
,,,Sail,4Q,,1:32,53-53,N
,,,Fight Fight,1OT Break,,,53-53,N
,,,Blue & White,1OT Break,,,53-53,N
,,,Devil,1OT,,,,N
,,,Zing It!,1OT,,,,N
,,,That's What I Want,1OT,,,,N
,,,Devil,Postgame,,,68-60,N
,,,Dear Old Duke,Postgame,,,68-60,N
2/19,Notre Dame,WBB,That That,Pregame,,,0-0,N
